"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.497069417E0,2.162127271E0,7.599119668E-1,-4.509004337E-1
2.507047417E0,2.293199626E0,7.622955112E-1,-6.016913545E-1
2.517026417E0,2.127748566E0,1.008199727E0,-3.145357633E-1
2.527004417E0,1.943916199E0,9.538282228E-1,6.547068894E-1
2.536982417E0,1.783178580E0,6.307996711E-1,1.723598961E0
2.546961417E0,1.606680960E0,2.531553479E-1,2.088973925E0
2.556939417E0,1.397940624E0,1.854545309E-1,2.311996086E0
2.566917417E0,8.944936019E-1,4.358798137E-1,2.292434810E0
2.576896417E0,1.223647989E0,4.315309471E-1,1.422231712E0
2.586874417E0,1.243572961E0,6.292523517E-1,1.290582821E0
2.596853417E0,8.750463474E-1,7.180065072E-1,1.317881716E0
2.606831417E0,5.565824246E-1,5.817524953E-1,1.186208267E0
2.616809417E0,6.247042412E-1,2.139377801E-1,8.170846528E-1
2.626788417E0,6.668024397E-1,1.518726557E-1,5.893063670E-1
2.636766417E0,3.026688391E-1,1.895952366E-1,8.232014251E-1
2.646745417E0,7.835268974E-5,1.753745158E-1,7.236034620E-1
2.656723417E0,-3.936743188E-1,4.331762074E-1,8.096434861E-1
2.666701417E0,-1.217998409E-1,2.838830508E-1,5.583962309E-1
2.676680417E0,-3.780224919E-2,1.382911818E-1,1.831190068E-1
2.686658417E0,5.101286352E-2,-2.217068294E-1,5.256512386E-1
2.696637417E0,-1.897889256E-1,-3.888034420E-1,1.368917969E0
2.706615417E0,1.528146422E-1,-4.018310384E-1,-8.604189527E-1
2.716593417E0,2.666330338E-2,-6.366565347E-2,-1.524027643E0
2.726572417E0,-8.971149087E-2,1.651202537E-1,-5.727505606E-1
2.736550417E0,1.664445019E-1,3.134033038E-1,-3.574093026E-1
2.746529417E0,3.696779305E-1,3.339925195E-1,-1.925318545E-1
2.756507417E0,6.282803982E-1,3.512119849E-1,2.650297272E-1
2.766485417E0,3.932129735E-1,3.215946682E-1,6.225483727E-1
2.776464417E0,9.356702793E-1,-9.869354501E-2,4.256685287E-2
2.786442417E0,1.089584198E0,2.425957149E-1,-8.345859540E-1
2.796421417E0,1.425450604E0,4.481335312E-1,-1.373338756E0
2.806399417E0,1.720562502E0,3.893555653E-1,-1.305740266E0
2.816377417E0,2.132598832E0,2.457146198E-3,-1.165892116E0
2.826356417E0,1.132623798E0,1.344115542E-1,-1.208265719E0
2.836334417E0,2.172363406E-1,3.406497207E-1,-1.103270191E0
2.846313417E0,7.070675361E-1,2.856168965E-1,-7.169680417E-1
2.856291417E0,1.362226415E0,4.271756485E-2,-6.225790706E-1
2.866269417E0,1.825192578E0,-1.519681115E-1,-1.140639746E0
2.876248417E0,1.786214454E0,7.912876144E-2,-1.213994528E0
2.886226417E0,1.705465575E0,5.866420832E-1,-7.146934748E-1
2.896204417E0,1.663730489E0,8.758415687E-1,-5.935461831E-1
2.906183417E0,1.850211060E0,6.875401747E-1,-8.228330505E-1
2.916161417E0,1.885990757E0,6.338549875E-1,-1.438445164E0
2.926140417E0,1.796341247E0,6.956569871E-1,-2.448823856E0
2.936118417E0,1.686212448E0,6.170198303E-1,-3.211784634E0
2.946097417E0,1.662323649E0,4.344875917E-1,-3.224447072E0
2.956075417E0,1.704756893E0,1.859037432E-1,-2.670477183E0
2.966053417E0,1.559633678E0,-2.268412694E-2,-1.855790181E0
2.976032417E0,1.696033432E0,-3.033997411E-1,-1.760931386E0
2.986010417E0,1.759451163E0,-2.015700419E-1,-1.540757404E0
2.995988417E0,1.578999656E0,8.086640775E-2,-9.943979591E-1
3.005967417E0,1.528647528E0,7.649385989E-2,-1.102007777E0
3.015945417E0,1.541840601E0,-1.955630511E-1,-1.331996895E0
3.025924417E0,1.487315315E0,-6.284593230E-1,-1.649697756E0
3.035901458E0,1.192940751E0,-1.063369376E0,-2.012615428E0
3.045879458E0,9.449778771E-1,-1.374794128E0,-2.039801765E0
3.055858458E0,9.522927439E-1,-1.524134793E0,-1.712437503E0
3.065836458E0,7.635615796E-1,-1.460679347E0,-9.162028518E-1
3.075815458E0,4.983231068E-1,-1.437005287E0,-4.656769323E-1
3.085793458E0,1.396946597E-1,-1.239814079E0,-6.294480872E-1
3.095771458E0,-1.368201685E-1,-8.043557028E-1,-1.009698953E0
3.105750458E0,1.420657057E-1,-6.284797883E-1,-1.094208468E0
3.115728458E0,1.627163172E-1,-8.817469642E-1,-1.180397304E0
3.125707458E0,-7.945664406E-2,-8.602543536E-1,-1.713959826E0
3.135685458E0,2.318976492E-1,-8.639351758E-1,-1.661619937E0
3.145664458E0,3.215997845E-1,-1.294545186E0,-1.065988929E0
3.155642458E0,1.229874104E-1,-1.654927213E0,6.279441833E-2
3.165620458E0,-9.076515913E-2,-1.977280119E0,7.306540346E-1
3.175599458E0,-5.190871543E-1,-1.987976139E0,8.245071083E-1
3.185577458E0,-4.990072310E-1,-1.658462732E0,8.193937182E-1
3.195556458E0,-4.708382696E-1,-9.497354642E-1,6.321442384E-1
3.205534458E0,-9.126994926E-1,-3.969019818E-1,7.489417863E-1
3.215512458E0,-8.402980989E-1,2.870807469E-2,2.287009764E-1
3.225491458E0,-2.691409045E-1,5.532500964E-1,-7.794806242E-2
3.235469458E0,2.663359952E-1,6.682633665E-1,1.014086119E0
3.245448458E0,3.895111012E-1,-9.260820150E-3,2.986284131E0
3.255426458E0,5.615338469E-1,-8.503564793E-1,4.227778407E0
3.265404458E0,7.047695804E-1,-1.058724056E0,4.323190348E0
3.275383458E0,6.377394390E-1,-6.619755632E-1,4.227271453E0
3.285361458E0,1.048078322E0,-1.538441907E-1,3.672449625E0
3.295340458E0,1.211609157E0,6.040987994E-1,2.374109303E0
3.305318458E0,1.644273294E0,1.174235655E0,8.778951108E-1
3.315297458E0,2.404211354E0,1.315141565E0,1.918290192E-1
3.325275458E0,2.583453657E0,7.865481538E-1,9.106857115E-1
3.335253458E0,2.108642204E0,9.870056167E-2,2.196452181E0
3.345232458E0,1.804147865E0,-1.988503557E-1,2.591089536E0
