"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.977449250E0,-1.668130226E-2,3.496337118E-2,9.172000945E-2
2.987430250E0,-3.640220650E-2,3.294999210E-2,1.250076234E-1
2.997411250E0,-6.006420717E-2,2.531431418E-2,1.248240209E-1
3.007392250E0,-5.928608894E-2,3.777599154E-2,1.082500881E-1
3.017373250E0,-7.519921325E-2,3.924305795E-2,8.830114245E-2
3.027354250E0,-6.891396806E-2,3.432330206E-2,7.725458264E-2
3.037335250E0,-4.070524558E-2,3.690671157E-2,5.787457108E-2
3.047316250E0,-1.541881531E-2,2.174932161E-2,3.386239529E-2
3.057296250E0,1.303731747E-2,-1.972905379E-3,3.224330127E-2
3.067277250E0,3.224074312E-2,4.381172508E-3,3.683395028E-2
3.077258250E0,4.066548452E-2,-1.058064636E-2,3.387935221E-2
3.087239250E0,3.883837581E-2,-1.485413874E-2,2.240068316E-2
3.097220250E0,3.750155613E-2,-6.512701884E-4,1.331294060E-2
3.107201250E0,3.721738145E-2,7.434332706E-3,2.680012822E-2
3.117182250E0,3.653435357E-2,3.422594592E-2,2.347540140E-2
3.127163250E0,2.248261727E-2,3.914601244E-2,4.419033229E-2
3.137144250E0,2.202843480E-2,5.178259464E-2,6.326453447E-2
3.147125250E0,8.015801758E-4,4.190904111E-2,6.715468705E-2
3.157106250E0,-5.211550221E-3,2.805298554E-2,6.889891148E-2
3.167087250E0,-8.141809255E-3,1.392580189E-2,7.237449646E-2
3.177068250E0,9.445592165E-3,4.647220820E-3,6.032221556E-2
3.187048250E0,2.922606491E-2,-1.503355689E-2,3.852613449E-2
3.197029250E0,3.830415957E-2,-2.498836845E-2,2.433494210E-2
3.207010250E0,4.098086871E-2,-3.760485085E-2,1.444145322E-2
3.216991250E0,3.512195863E-2,-3.643834960E-2,1.258905530E-2
3.226972250E0,1.566322893E-2,-2.040817134E-2,2.595228195E-2
3.236953250E0,5.767547339E-4,-9.221753441E-3,3.599545956E-2
3.246934250E0,-1.287951574E-2,1.422194509E-2,3.194626272E-2
3.256915250E0,-2.498295978E-2,-6.304029375E-6,5.200805962E-2
3.266896250E0,-3.720027834E-2,5.688061751E-3,5.668700159E-2
3.276877250E0,-3.220178604E-2,1.063637763E-2,7.068114281E-2
3.286858250E0,-2.688140452E-2,1.223862436E-2,7.137988508E-2
3.296839250E0,-2.129431687E-2,-5.540419556E-4,6.237458825E-2
3.306820250E0,-1.566074386E-2,-1.077420747E-2,5.249981046E-2
3.316801250E0,-3.265962303E-3,-3.710569963E-3,5.328684568E-2
3.326781250E0,-3.822544143E-3,-6.206819415E-4,4.986797869E-2
3.336762250E0,3.800836354E-3,1.570324581E-3,3.068267941E-2
3.346743250E0,3.754643351E-3,1.295657108E-2,7.673301101E-3
3.356724250E0,4.620542899E-3,2.403949326E-2,2.498983026E-2
3.366705250E0,4.716364145E-3,1.982114743E-2,3.221932769E-2
3.376686250E0,-4.335052595E-3,1.769374765E-2,5.426040709E-2
3.386667250E0,-3.182712570E-3,8.781220559E-3,8.204052866E-2
3.396648250E0,-8.110745922E-3,6.404144671E-3,9.216264367E-2
3.406629250E0,-9.900505543E-3,1.805525176E-2,1.229365396E-1
3.416610250E0,-2.001867369E-2,3.224284446E-2,1.297514695E-1
3.426591250E0,-2.985237479E-2,3.174486268E-2,5.930713892E-2
3.436572250E0,-9.553546384E-3,4.159321837E-2,4.782437682E-3
3.446552250E0,7.467552200E-3,5.188755216E-2,1.232476115E-2
3.456533250E0,4.363587007E-2,4.492110634E-2,4.631696463E-2
3.466514250E0,6.681511000E-2,2.982929656E-2,8.545530260E-2
3.476495250E0,7.528787166E-2,1.738486849E-3,6.121508539E-2
3.486476250E0,5.135974959E-2,-6.732959189E-3,-3.096860826E-2
3.496457250E0,1.820742555E-2,-3.118155655E-3,-1.488952535E-1
3.506438250E0,1.127971753E-2,4.145840351E-3,-1.995637161E-1
3.516419250E0,3.765636116E-2,6.959392615E-3,-1.219939685E-1
3.526400250E0,3.978591710E-2,1.277375422E-2,5.290911555E-2
3.536381250E0,7.243457660E-3,1.879549099E-2,1.936913574E-1
3.546362250E0,-4.551246084E-2,7.763202041E-3,2.500801510E-1
3.556343250E0,-8.285921194E-2,3.794002421E-3,2.243816382E-1
3.566324250E0,-1.027295125E-1,-1.346423730E-2,1.561908245E-1
3.576304250E0,-1.041487779E-1,-1.008650182E-2,7.658858478E-2
3.586285250E0,-8.275754347E-2,-1.989862304E-3,3.226669014E-2
3.596266250E0,-6.552112117E-2,9.252140690E-3,3.867348433E-3
3.606247250E0,-3.198836267E-2,7.603956778E-3,5.747812986E-4
3.616228250E0,1.092742279E-2,-9.717487693E-3,-4.815766811E-3
3.626209250E0,6.341005705E-2,-2.400475714E-2,-4.209995270E-5
3.636190250E0,1.011685983E-1,-4.633697307E-2,1.985889852E-2
3.646171250E0,9.484826982E-2,-3.589726288E-2,5.451651514E-2
3.656152250E0,6.727704003E-2,-2.190058177E-2,7.091795504E-2
3.666133250E0,4.379586451E-2,-5.324913114E-3,8.678320527E-2
3.676114250E0,1.385431968E-2,5.067471173E-3,9.193401754E-2
3.686095250E0,-6.088705659E-3,2.436538417E-2,8.950742304E-2
3.696076250E0,-3.583612293E-3,2.132631211E-2,7.724054933E-2
