"Time (ms)","Recording (a.u.)"
9.042009167E0,1.251107454E-2
9.062843290E0,-3.639524803E-3
9.083677412E0,-1.392929442E-2
9.104511535E0,-1.951975748E-2
9.125345657E0,-2.415086888E-2
9.146179780E0,-3.204166144E-2
9.167013902E0,-4.587931931E-2
9.187848025E0,-6.202685833E-2
9.208682147E0,-7.429278642E-2
9.229516270E0,-8.147118986E-2
9.250350392E0,-8.355915546E-2
9.271184515E0,-8.125296980E-2
9.292018637E0,-7.779804617E-2
9.312852760E0,-7.568044960E-2
9.333686882E0,-7.753384113E-2
9.354521005E0,-8.177983761E-2
9.375355127E0,-8.273471147E-2
9.396189250E0,-7.749964297E-2
9.417023372E0,-7.026834786E-2
9.437857495E0,-6.737914681E-2
9.458691617E0,-6.650583446E-2
9.479525740E0,-6.248109788E-2
9.500359862E0,-5.678114295E-2
9.521193985E0,-5.645877123E-2
9.542028107E0,-6.441169232E-2
9.562862230E0,-7.323586941E-2
9.583696352E0,-7.664883882E-2
9.604530475E0,-7.781758904E-2
9.625364597E0,-8.450348675E-2
9.646198720E0,-9.856517613E-2
9.667032842E0,-1.109714955E-1
9.687866965E0,-1.124926507E-1
9.708701087E0,-1.032899171E-1
9.729535210E0,-9.134675562E-2
9.750369332E0,-8.307811618E-2
9.771203455E0,-7.989127934E-2
9.792037577E0,-8.313120902E-2
9.812871700E0,-9.024938196E-2
9.833705822E0,-9.505393356E-2
9.854539945E0,-9.849371016E-2
9.875374067E0,-1.062474251E-1
9.896208190E0,-1.198956743E-1
9.917042312E0,-1.366285980E-1
9.937876435E0,-1.491111964E-1
9.958710557E0,-1.521672308E-1
9.979544680E0,-1.502715051E-1
1.000037880E1,-1.519293785E-1
1.002121292E1,-1.587608606E-1
1.004204705E1,-1.642957181E-1
1.006288117E1,-1.631680429E-1
1.008371529E1,-1.567070037E-1
1.010454941E1,-1.452977955E-1
1.012538354E1,-1.268842071E-1
1.014621766E1,-1.069819033E-1
1.016705178E1,-9.075689316E-2
1.018788590E1,-7.514242083E-2
1.020872003E1,-5.523647368E-2
1.022955415E1,-3.203585371E-2
1.025038827E1,-1.263290737E-2
1.027122239E1,-1.825132640E-4
1.029205652E1,6.003481802E-3
1.031289064E1,7.744347211E-3
1.033372476E1,5.415308755E-3
1.035455888E1,-1.837247983E-3
1.037539301E1,-6.602845155E-3
1.039622713E1,-2.463188488E-3
1.041706125E1,4.811325110E-3
1.043789537E1,3.270609304E-3
1.045872950E1,-7.016560994E-3
1.047956362E1,-1.140386797E-2
1.050039774E1,-7.673853077E-3
1.052123186E1,-5.381585099E-3
1.054206599E1,-7.465040311E-3
1.056290011E1,-8.671053685E-3
1.058373423E1,-2.517537214E-3
1.060456835E1,6.720407866E-3
1.062540248E1,1.143272407E-2
1.064623660E1,1.395341195E-2
1.066707072E1,2.198136412E-2
1.068790484E1,3.499583900E-2
1.070873897E1,4.324182123E-2
1.072957309E1,4.218278453E-2
1.075040721E1,3.807395697E-2
1.077124133E1,4.197076336E-2
1.079207546E1,5.231966823E-2
1.081290958E1,5.631779507E-2
1.083374370E1,5.030788481E-2
1.085457782E1,4.008816555E-2
1.087541195E1,3.368017077E-2
1.089624607E1,3.232169151E-2
1.091708019E1,3.100162931E-2
1.093791431E1,3.000403941E-2
1.095874844E1,3.141770512E-2
1.097958256E1,3.356516361E-2
1.100041668E1,3.250568360E-2
1.102125080E1,2.726649120E-2
1.104208493E1,2.445875108E-2
1.106291905E1,2.883392200E-2
1.108375317E1,3.906819597E-2
1.110458729E1,5.134329200E-2
1.112542142E1,6.256092340E-2
1.114625554E1,7.147090137E-2
1.116708966E1,7.511964440E-2
1.118792378E1,7.383015752E-2
1.120875791E1,7.162769139E-2
1.122959203E1,7.357072830E-2
1.125042615E1,8.159587532E-2
1.127126028E1,8.826693892E-2
1.129209440E1,8.415770531E-2
1.131292852E1,6.968733668E-2
1.133376264E1,5.931937695E-2
1.135459677E1,6.371484697E-2
1.137543089E1,7.443497330E-2
1.139626501E1,7.770331204E-2
1.141709913E1,7.053536922E-2
1.143793326E1,6.378803402E-2
1.145876738E1,6.760317087E-2
1.147960150E1,7.932019979E-2
1.150043562E1,8.650996536E-2
1.152126975E1,7.571736723E-2
1.154210387E1,5.099323392E-2
1.156293799E1,3.170860559E-2
1.158377211E1,2.860761434E-2
1.160460624E1,3.323976323E-2
1.162544036E1,3.041759133E-2
1.164627448E1,1.763870008E-2
1.166710860E1,3.962735645E-3
1.168794273E1,-5.271902774E-3
1.170877685E1,-1.126616076E-2
1.172961097E1,-1.458788663E-2
1.175044509E1,-1.466017589E-2
1.177127922E1,-8.923664689E-3
1.179211334E1,5.137135740E-4
1.181294746E1,2.480539493E-3
1.183378158E1,-7.844546810E-3
1.185461571E1,-1.903258450E-2
1.187544983E1,-1.787166297E-2
1.189628395E1,-5.758892745E-3
1.191711807E1,5.202429835E-3
1.193795220E1,6.900841836E-3
1.195878632E1,5.407027900E-3
1.197962044E1,7.328694686E-3
1.200045456E1,9.807480499E-3
1.202128869E1,9.937215596E-3
1.204212281E1,7.533761673E-3
1.206295693E1,7.713492028E-3
1.208379105E1,9.833419695E-3
1.210462518E1,7.415979169E-3
1.212545930E1,3.358367831E-4
1.214629342E1,-1.194513589E-2
1.216712754E1,-2.489651926E-2
1.218796167E1,-3.476405889E-2
1.220879579E1,-4.400128871E-2
1.222962991E1,-4.979614913E-2
1.225046403E1,-5.045446008E-2
1.227129816E1,-4.761973023E-2
1.229213228E1,-4.373658448E-2
1.231296640E1,-4.052250460E-2
1.233380052E1,-3.845747560E-2
1.235463465E1,-4.080103338E-2
1.237546877E1,-4.758623242E-2
1.239630289E1,-5.219279230E-2
1.241713701E1,-4.964412376E-2
1.243797114E1,-4.276357964E-2
1.245880526E1,-3.597624972E-2
1.247963938E1,-2.977723256E-2
1.250047350E1,-2.574149519E-2
1.252130763E1,-2.640058473E-2
1.254214175E1,-2.704248391E-2
1.256297587E1,-1.822090335E-2
1.258380999E1,1.505992841E-3
1.260464412E1,2.126184478E-2
1.262547824E1,2.811879106E-2
1.264631236E1,2.090231143E-2
1.266714648E1,8.531646803E-3
1.268798061E1,4.057872575E-4
1.270881473E1,-1.186573762E-3
